date,yt_subscribers,yt_total_views
2026-03-24,1130,413910
2026-03-25,1150,437302
2026-03-26,1150,443679
2026-03-27,1160,449739
2026-03-28,1160,450187
2026-03-29,1170,450344
2026-03-30,1250,450447
2026-03-31,1410,471832
2026-04-01,1750,492839
2026-04-02,2160,505643
2026-04-03,2660,540766
2026-04-04,3270,559870
2026-04-05,3290,585811
2026-04-06,3290,593462
2026-04-07,3290,593617
2026-04-08,3290,593626
2026-04-09,3290,593826
2026-04-10,3310,594084
2026-04-11,3320,609413
2026-04-12,3350,633835
2026-04-13,3390,687055
2026-04-14,3450,725876
2026-04-15,3480,767752
2026-04-16,3500,919601
2026-04-17,3520,985346
2026-04-18,3520,1035686
2026-04-19,3530,1071181
2026-04-20,3550,1104805
2026-04-21,3570,1114179
2026-04-22,3570,1122621
2026-04-23,3590,1123660
2026-04-24,3600,1136068
2026-04-25,3600,1151660
2026-04-26,3610,1171146
2026-04-27,3620,1184291
2026-04-28,3640,1221728
2026-04-29,3660,1246558
2026-04-30,3800,1267006
2026-05-01,3920,1560017
2026-05-02,4010,1794533
2026-05-03,4100,1937243
2026-05-04,4190,2085067
2026-05-05,4330,2185103
2026-05-06,4680,2286740
