date,yt_subscribers,yt_total_views
2026-02-04,4870,2185230
2026-02-05,4890,2191319
2026-02-06,4910,2196720
2026-02-07,4910,2202083
2026-02-08,4930,2205524
2026-02-09,4940,2214395
2026-02-10,4980,2233527
2026-02-11,5010,2258125
2026-02-12,5070,2279384
2026-02-13,5090,2286728
2026-02-14,5100,2292367
2026-02-15,5090,2295015
2026-02-16,5100,2299883
2026-02-17,5100,2301993
2026-02-18,5100,2305198
2026-02-19,5090,2307685
2026-02-20,5100,2309683
2026-02-21,5110,2318501
2026-02-22,5110,2320521
2026-02-23,5100,2322038
2026-02-24,5100,2331047
2026-02-25,5110,2333649
2026-02-26,5110,2334863
2026-02-27,5120,2336934
2026-02-28,5130,2347170
2026-03-01,5130,2336934
2026-03-02,5130,2352692
2026-03-03,5120,2336934
2026-03-04,5140,2357565
2026-03-05,5130,2361057
2026-03-06,5140,2361057
2026-03-07,5140,2367621
2026-03-08,5130,2367621
2026-03-09,5130,2370399
2026-03-10,5130,2371840
2026-03-11,5140,2374580
2026-03-12,5120,2376528
2026-03-13,5120,2379067
2026-03-14,5120,2379067
2026-03-15,5120,2379067
2026-03-16,5120,2388427
2026-03-17,5130,2391021
2026-03-18,5130,2391021
2026-03-19,5130,2393384
2026-03-20,5130,2399883
2026-03-21,5150,2399883
2026-03-22,5150,2411544
2026-03-23,5160,2411544
2026-03-24,5170,2420177
2026-03-25,5180,2423957
2026-03-26,5190,2423957
2026-03-27,5190,2432505
2026-03-28,5200,2435933
2026-03-29,5210,2435933
2026-03-30,5220,2443846
2026-03-31,5230,2443846
2026-04-01,5230,2460499
2026-04-02,5230,2473177
2026-04-03,5250,2473177
2026-04-04,5260,2492701
2026-04-05,5280,2502904
2026-04-06,5280,2502904
2026-04-07,5280,2502904
2026-04-08,5300,2509273
2026-04-09,5320,2510759
2026-04-10,5330,2515820
2026-04-11,5350,2522472
2026-04-12,5370,2522472
2026-04-13,5370,2522472
2026-04-14,5380,2522472
2026-04-15,5380,2529531
2026-04-16,5390,2531912
2026-04-17,5390,2531912
2026-04-18,5420,2538797
2026-04-19,5420,2545725
2026-04-20,5430,2549522
2026-04-21,5430,2549522
2026-04-22,5430,2561608
2026-04-23,5430,2561608
2026-04-24,5430,2580650
2026-04-25,5440,2580650
2026-04-26,5430,2598713
2026-04-27,5430,2598713
2026-04-28,5440,2605136
2026-04-29,5440,2605136
2026-04-30,5460,2605136
2026-05-01,5470,2617788
2026-05-02,5480,2622666
2026-05-03,5500,2645479
2026-05-04,5500,2645479
2026-05-05,5510,2655407
2026-05-06,5510,2659901
2026-05-07,5510,2659901
2026-05-08,5520,2666043
2026-05-09,5520,2669683
2026-05-10,5530,2669683
2026-05-11,5530,2675533
2026-05-12,5530,2675533
2026-05-13,5530,2675533
2026-05-14,5530,2675533
