date,yt_subscribers,yt_total_views
2026-01-15,2330,575862
2026-01-16,2480,577072
2026-01-17,2610,579203
2026-01-18,2680,580716
2026-01-19,2780,582049
2026-01-20,2930,583883
2026-01-21,3080,585787
2026-01-22,3200,587867
2026-01-23,3330,589944
2026-01-24,3420,591710
2026-01-25,3470,593252
2026-01-26,3520,594231
2026-01-27,3610,595220
2026-01-28,3690,596573
2026-01-29,3740,597458
2026-01-30,3780,597920
2026-01-31,3810,598769
2026-02-01,3840,599114
2026-02-02,3870,599484
2026-02-03,3890,599855
2026-02-04,3910,600135
2026-02-05,3930,600452
2026-02-06,3960,600721
2026-02-07,3980,601045
2026-02-08,4000,601213
2026-02-09,4010,601535
2026-02-10,4020,601728
2026-02-11,4030,601979
2026-02-12,4050,602155
2026-02-13,4050,602315
2026-02-14,4060,602494
2026-02-15,4060,602658
2026-02-16,4070,602802
2026-02-17,4080,602975
2026-02-18,4090,603146
2026-02-19,4100,603221
2026-02-20,4110,603518
2026-02-21,4120,603746
2026-02-22,4130,603994
2026-02-23,4280,604189
2026-02-24,4800,812603
2026-02-25,5250,1019241
2026-02-26,5480,1180402
2026-02-27,5660,1220732
2026-02-28,6010,1533404
2026-03-01,6320,1706010
2026-03-02,6530,1865196
2026-03-03,6730,1943189
2026-03-04,6960,1943403
2026-03-05,7180,1948905
2026-03-06,7420,1952841
2026-03-07,17300,1954681
2026-03-08,22000,1955726
2026-03-09,22000,1956660
2026-03-10,22200,1957597
2026-03-11,22500,1958401
2026-03-12,26400,1981963
2026-03-13,26400,2041807
2026-03-14,26400,2158030
2026-03-15,26400,2282656
2026-03-16,26400,2340030
2026-03-17,26400,2402331
2026-03-18,27100,2407951
2026-03-19,27800,2419674
2026-03-20,28300,2429669
2026-03-21,29000,3257867
2026-03-22,29600,4033856
2026-03-23,31000,4880559
2026-03-24,32400,5311903
2026-03-25,33500,6997861
2026-03-26,34500,7467109
2026-03-27,35800,9149239
2026-03-28,37000,10081926
2026-03-29,38300,10765377
2026-03-30,39400,12022916
2026-03-31,40000,12066825
2026-04-01,40800,12103830
2026-04-02,41700,12143431
2026-04-03,42800,12182297
2026-04-04,43500,12208216
2026-04-05,44200,12247320
2026-04-06,45200,12275395
2026-04-07,46700,12281150
2026-04-08,67600,12701894
2026-04-09,68100,12701894
2026-04-10,58200,12779304
2026-04-11,61600,12839728
2026-04-12,67800,12839728
2026-04-13,62200,12839728
2026-04-14,65400,12929390
2026-04-15,66600,12979324
2026-04-16,67200,12979324
2026-04-17,65700,13049006
2026-04-18,64300,13145928
2026-04-19,67200,13192299
2026-04-20,67400,13192299
2026-04-21,65400,13192299
2026-04-22,65000,13284966
2026-04-23,65100,13284966
2026-04-24,65200,13361998
2026-04-25,66400,13426783
2026-04-26,66200,13426783
2026-04-27,66100,13452694
2026-04-28,66000,13452694
2026-04-29,66100,13551475
2026-04-30,66100,13568110
2026-05-01,66200,13600534
2026-05-02,66300,13633649
2026-05-03,66600,13633649
2026-05-04,66900,13676844
2026-05-05,67100,13676844
2026-05-06,67400,13676844
