date,yt_subscribers,yt_total_views
2023-05-09,251000,18176508
2023-05-10,253000,18446596
2023-05-11,255000,18455419
2023-05-12,257000,18635585
2023-05-13,259000,18867535
2023-05-14,260000,19185810
2023-05-15,261000,19328724
2023-05-16,262000,19468800
2023-05-17,262000,19590245
2023-05-18,263000,19590245
2023-05-19,264000,19914556
2023-05-20,265000,20049379
2023-05-21,266000,20049379
2023-05-22,267000,20316613
2023-05-23,268000,20460015
2023-05-24,270000,20460015
2023-05-25,272000,21086324
2023-05-26,275000,21665633
2023-05-27,281000,22071584
2023-05-28,286000,22071584
2023-05-29,290000,22429664
2023-05-30,292000,22735444
2023-05-31,294000,23041663
2023-06-01,296000,23531894
2023-06-02,298000,23531894
2023-06-03,302000,23781202
2023-06-04,306000,24264433
2023-06-05,310000,24264433
2023-06-06,314000,24941204
2023-06-07,317000,25180177
2023-06-08,320000,25512569
2023-06-09,322000,25512569
2023-06-10,325000,25751026
