date,yt_subscribers,yt_total_views
2026-04-07,66600,10609305
2026-04-08,66600,10622446
2026-04-09,66600,10631816
2026-04-10,66700,10657858
2026-04-11,66700,10674335
2026-04-12,66700,10674335
2026-04-13,66700,10674335
2026-04-14,66700,10696448
2026-04-15,66700,10708047
2026-04-16,66800,10722726
2026-04-17,66900,10734084
2026-04-18,66900,10763419
2026-04-19,66900,10774817
2026-04-20,67000,10789243
2026-04-21,67000,10789243
2026-04-22,67000,10817062
2026-04-23,67100,10817062
2026-04-24,67100,10817062
2026-04-25,67100,10817062
2026-04-26,67200,10817062
2026-04-27,67200,10865656
2026-04-28,67200,10865656
2026-04-29,67200,10896039
2026-04-30,67200,10896039
2026-05-01,67200,10903345
2026-05-02,67300,10930489
2026-05-03,67300,10941192
2026-05-04,67300,10949908
2026-05-05,67300,10960216
2026-05-06,67300,10960216
