date,yt_subscribers,yt_total_views
2025-04-07,1730,71164
2025-04-08,1780,83923
2025-04-09,1840,105447
2025-04-10,1910,120564
2025-04-11,1950,137920
2025-04-12,1990,146653
2025-04-13,2070,157866
2025-04-14,2100,168578
2025-04-15,2150,174174
2025-04-16,2210,195647
2025-04-17,2270,204978
2025-04-18,2310,222051
2025-04-19,2330,227639
2025-04-20,2390,231693
2025-04-21,2460,240530
2025-04-22,2530,253868
2025-04-23,2680,276228
2025-04-24,2750,307034
2025-04-25,2810,336175
2025-04-26,2850,360834
2025-04-27,2900,373644
2025-04-28,2950,391697
2025-04-29,2990,404105
2025-04-30,3020,407376
2025-05-01,3050,418031
2025-05-02,3070,422946
2025-05-03,3090,426639
2025-05-04,3140,429556
2025-05-05,3170,442564
2025-05-06,3200,452599
2025-05-07,3230,461366
2025-05-08,3250,467379
2025-05-09,3290,477706
2025-05-10,3350,489507
2025-05-11,3440,500381
2025-05-12,3500,514848
2025-05-13,3540,540084
2025-05-14,3600,551934
2025-05-15,3640,571422
2025-05-16,3680,581194
2025-05-17,3730,589430
2025-05-18,3830,593858
2025-05-19,3980,615468
2025-05-20,4100,639363
2025-05-21,4220,660974
2025-05-22,4330,675423
2025-05-23,4430,814976
2025-05-24,4580,822806
2025-05-25,4830,837265
2025-05-26,4950,866426
2025-05-27,5010,881315
2025-05-28,5090,888842
2025-05-29,5160,908698
2025-05-30,5230,940213
2025-05-31,5290,953762
2025-06-01,5480,971993
2025-06-02,5670,1030736
2025-06-03,5810,1082124
2025-06-04,5890,1116024
2025-06-05,5970,1129775
2025-06-06,6040,1149647
2025-06-07,6120,1162068
2025-06-08,6250,1183359
2025-06-09,6350,1213709
2025-06-10,6430,1231307
2025-06-11,6510,1261601
2025-06-12,6580,1284986
2025-06-13,6650,1306964
2025-06-14,6710,1324698
2025-06-15,6850,1340191
2025-06-16,6920,1360974
2025-06-17,6980,1370910
2025-06-18,7050,1384959
2025-06-19,7120,1397400
2025-06-20,7190,1410523
2025-06-21,7240,1425348
2025-06-22,7350,1374590
2025-06-23,7470,1402565
2025-06-24,7570,1423184
2025-06-25,7740,1455799
2025-06-26,7850,1505462
2025-06-27,7910,1535146
2025-06-28,8010,1547901
2025-06-29,8200,1575939
2025-06-30,8280,1601866
2025-07-01,8360,1621768
2025-07-02,8460,1658879
2025-07-03,8520,1677837
2025-07-04,8570,1694381
2025-07-05,8640,1710479
2025-07-06,8700,1733233
2025-07-07,8740,1756104
2025-07-08,8770,1775452
2025-07-09,8810,1788743
